,iteration,filename,logit_1,logits_2,logits_3,logits_4,logits_5,rating
0,104,104_im_26.png,0.9096176,-1.852448,0.8734232,-0.55728406,1.2762225,5
1,104,104_im_32.png,0.50043565,-1.7733434,0.53452355,-0.6707901,0.68696845,5
2,104,104_im_33.png,0.51247716,-1.5763062,0.49592403,-0.7456557,1.0904531,5
3,104,104_im_27.png,0.44537556,-1.5049492,0.6436509,-0.69360757,1.198937,5
4,104,104_im_31.png,1.1581734,-2.0117407,0.765612,-0.64520574,0.8196547,1
5,104,104_im_25.png,0.52617663,-1.7964188,0.6126063,-0.66832924,0.94627327,5
6,104,104_im_19.png,0.14832665,-1.6167729,0.24470957,-0.76413006,0.61661744,5
7,104,104_im_18.png,0.49756727,-1.7559093,0.6250168,-0.6821033,0.93835294,5
8,104,104_im_24.png,0.5081916,-1.6278563,0.6912122,-0.7002788,1.2580141,5
9,104,104_im_30.png,0.060882617,-1.2322239,0.6881013,-0.37082148,0.81169814,5
10,104,104_im_34.png,0.21117009,-1.5186585,0.51550424,-0.63759,0.7741264,5
11,104,104_im_20.png,0.10175582,-1.4988568,0.2924069,-0.7373577,0.7450557,5
12,104,104_im_9.png,0.15562442,-1.4851853,0.23886438,-0.7214896,0.64942855,5
13,104,104_im_8.png,0.48075375,-1.070011,0.89514333,-0.5745985,1.8284796,5
14,104,104_im_21.png,0.60691714,-1.7047042,0.5648806,-0.7553848,1.0610186,5
15,104,104_im_35.png,0.24130759,-1.3439744,0.59302723,-0.66285706,1.1534246,5
16,104,104_im_23.png,0.815014,-1.4991066,0.92906684,-0.5554721,1.6784225,5
17,104,104_im_37.png,0.12136392,-1.5070778,0.33568707,-0.71176183,0.68545103,5
18,104,104_im_36.png,0.36566198,-1.6607822,0.5218329,-0.65062815,0.70822775,5
19,104,104_im_22.png,0.824466,-1.7847198,0.61137456,-0.6347679,0.87398744,5
20,104,104_im_45.png,0.3822243,-1.5110785,0.5071528,-0.7277511,1.1643273,5
21,104,104_im_51.png,0.43703464,-1.7741144,0.4163443,-0.7421157,0.7096486,5
22,104,104_im_79.png,0.7423145,-1.6412624,0.8371433,-0.5527671,1.366144,5
23,104,104_im_86.png,0.37888795,-1.5785855,0.65487635,-0.72078586,1.129846,5
24,104,104_im_92.png,0.8187798,-1.7165486,0.77165926,-0.63453954,1.3086716,5
25,104,104_im_93.png,0.31940168,-1.3573663,0.6208375,-0.66755784,1.3310599,5
26,104,104_im_87.png,0.71275705,-1.7736365,0.6348137,-0.6403961,0.8299893,5
27,104,104_im_78.png,0.8798212,-1.7596834,0.6397884,-0.553332,0.5679354,1
28,104,104_im_50.png,0.4169315,-1.7335795,0.45260787,-0.6958721,0.71328664,5
29,104,104_im_44.png,0.512571,-1.8036209,0.52403843,-0.73275,0.8276257,5
30,104,104_im_52.png,0.052959707,-1.4651754,0.30645785,-0.71497166,0.82410276,5
31,104,104_im_46.png,1.0729702,-1.7986453,0.87901145,-0.582686,1.1751554,5
32,104,104_im_91.png,0.55129135,-1.6461629,0.47603488,-0.661759,0.7560285,5
33,104,104_im_85.png,1.1083775,-1.660436,0.7214802,-0.6106273,1.0605133,1
34,104,104_im_84.png,0.6327528,-1.6789517,0.5567814,-0.72762924,1.2241706,5
35,104,104_im_90.png,0.550919,-1.7835866,0.60438114,-0.70120853,0.7814163,5
36,104,104_im_47.png,0.5334511,-1.848709,0.60395485,-0.6678709,0.834478,5
37,104,104_im_53.png,0.3046045,-1.7049949,0.20351426,-0.7792158,0.57888806,5
38,104,104_im_57.png,0.6988247,-1.7211382,0.39783818,-0.733873,0.8751558,5
39,104,104_im_43.png,0.18601502,-1.4948694,0.49838156,-0.6242784,0.7203376,5
40,104,104_im_94.png,0.68164253,-1.7170435,0.7255817,-0.62000376,1.0634705,5
41,104,104_im_80.png,0.2747961,-1.5938596,0.33866078,-0.73218185,0.7805698,5
42,104,104_im_81.png,0.6663094,-1.5665537,0.8772165,-0.6037609,1.5608103,5
43,104,104_im_95.png,0.19858058,-1.526814,0.30065718,-0.6722431,0.5400252,5
44,104,104_im_42.png,0.37937176,-1.4545909,0.73593366,-0.61647016,1.2878982,5
45,104,104_im_56.png,1.2244325,-1.8076261,0.6873783,-0.44738188,0.45398355,1
46,104,104_im_68.png,0.29199076,-1.4645869,0.5522156,-0.62815535,1.0240128,5
47,104,104_im_40.png,0.72488093,-1.9116986,0.6745472,-0.6286835,0.81473815,5
48,104,104_im_54.png,0.49425706,-1.4231347,0.42897236,-0.6707626,1.161721,5
49,104,104_im_83.png,0.3761385,-1.4000809,0.6543635,-0.6848676,1.3332185,5
50,104,104_im_97.png,1.1585474,-1.8904152,0.97808427,-0.5830134,1.400092,5
51,104,104_im_96.png,0.56360596,-1.5089157,0.45332083,-0.60151863,1.2141804,5
52,104,104_im_82.png,0.6983862,-1.437732,0.91300356,-0.595758,1.6952544,5
53,104,104_im_55.png,0.8368797,-1.8621196,0.6190773,-0.6781481,0.70411974,1
54,104,104_im_41.png,0.43649969,-1.5098796,0.4126886,-0.74599475,0.93734026,5
55,104,104_im_69.png,0.57873356,-1.4902109,0.6379809,-0.6296131,1.184385,5
56,104,104_im_64.png,0.9841474,-1.7501715,0.7954538,-0.5842353,1.3972342,5
57,104,104_im_70.png,0.554667,-1.5968876,0.7360367,-0.66903615,1.425946,5
58,104,104_im_58.png,1.4761285,-1.771503,0.8620425,-0.41567802,0.47905767,1
59,104,104_im_59.png,0.41570053,-1.7022018,0.5174387,-0.6822568,0.6913947,5
60,104,104_im_71.png,0.38194203,-1.5932093,0.6183235,-0.7048099,1.0925174,5
61,104,104_im_65.png,0.6381056,-1.7589557,0.42045662,-0.77771354,0.9570783,5
62,104,104_im_73.png,0.14491732,-1.4886358,0.34306553,-0.67264605,0.781185,5
63,104,104_im_67.png,0.33202395,-1.654254,0.38393676,-0.72964394,0.6437647,5
64,104,104_im_98.png,0.78799593,-1.848108,0.67432004,-0.6196499,0.65575993,1
65,104,104_im_99.png,1.0115036,-1.7163512,0.47554186,-0.607972,0.3205212,1
66,104,104_im_66.png,0.13928637,-0.91272014,0.9952295,-0.49192294,1.6659154,5
67,104,104_im_72.png,0.45740205,-1.7352184,0.5837859,-0.6243083,0.80825883,5
68,104,104_im_76.png,0.49205136,-1.7746016,0.5425835,-0.6414115,0.6325667,5
69,104,104_im_62.png,0.19354624,-1.5891191,0.3785445,-0.7281597,0.713381,5
70,104,104_im_89.png,0.41566622,-1.6816217,0.4820578,-0.75415325,0.90661615,5
71,104,104_im_88.png,0.762124,-1.5398773,0.71371615,-0.62969035,1.3244131,5
72,104,104_im_63.png,0.65777725,-1.7770673,0.40049008,-0.7406103,0.8862512,5
73,104,104_im_77.png,0.4598866,-0.9789333,0.94043607,-0.5368593,1.8678153,5
74,104,104_im_49.png,0.0561169,-1.5239567,0.21425197,-0.760222,0.6852329,5
