participant,age:1,gender:1,experience:1,years:1,number:1,fake_mris:1,comment:1,endcode,TIME_start,TIME_end,TIME_total
s.34a5d5ab-e6e2-4823-9625-b2d64a5e6267.txt,34,2,2,3,2,Fake_MRIs.2020-10-31-2057.data.34a5d5ab-e6e2-4823-9625-b2d64a5e6267.txt,"",AjMTbbZt,2020-10-31-20-42,2020-10-31-20-58,16
s.e63ca84f-7fe4-47cf-8268-3b5b66a31a3f.txt,25,2,4,3,2,Fake_MRIs.2020-11-29-0837.data.e63ca84f-7fe4-47cf-8268-3b5b66a31a3f.txt,"",stHqCPxs,2020-11-29-08-21,2020-11-29-08-37,16
s.7bff45f8-366a-476e-beea-731fcf15cb3f.txt,39,2,2,13,3,Fake_MRIs.2020-11-01-0020.data.7bff45f8-366a-476e-beea-731fcf15cb3f.txt,"Thanks for setting this up, an interesting study. The scans are not typical of usual clinical scans.",sCpsTy5a,2020-11-01-00-07,2020-11-01-00-21,14
s.20a14724-1148-4ff1-8669-ee96245af7de.txt,30,2,4,1,1,"","","",2021-01-26-14-18,"",""
s.1b33c739-ed86-4ff8-a5f8-40ca8092236c.txt,38,1,3,8,2,"","","",2020-12-04-14-52,"",""
s.fec966c5-8fb4-45bc-b104-049b888a2986.txt,27,2,4,1,"","","","",2020-12-04-12-52,"",""
s.8298f856-1bf9-4b37-bdb1-e9459a7805d2.txt,38,2,3,14,2,Fake_MRIs.2020-11-27-1822.data.8298f856-1bf9-4b37-bdb1-e9459a7805d2.txt,"",OmCNH6BK,2020-11-27-18-08,2020-11-27-18-22,14
s.86e4bc74-245c-4e28-8fb2-5f2de48767bb.txt,36,1,1,11,4,Fake_MRIs.2020-12-17-1532.data.86e4bc74-245c-4e28-8fb2-5f2de48767bb.txt,"",pzAYVSXf,2020-12-17-15-15,2020-12-17-15-32,17
s.266caa5b-04b0-4139-a4fe-7900bc5411b9.txt,37,2,3,15,2,Fake_MRIs.2020-10-16-1334.data.266caa5b-04b0-4139-a4fe-7900bc5411b9.txt,"",TVCJr6fQ,2020-10-16-13-26,2020-10-16-13-34,8
s.c91f0e13-361a-4335-9b16-e154697a08c3.txt,36,2,3,3,2,Fake_MRIs.2020-12-15-1122.data.c91f0e13-361a-4335-9b16-e154697a08c3.txt,Amazed that GANs are able to produce such realistic images.,LdWnnq2m,2020-12-15-11-06,2020-12-15-11-23,17
s.3341a4ce-466b-4c1a-8af7-d6d1b0db930c.txt,37,2,3,13,2,Fake_MRIs.2020-09-23-1025.data.3341a4ce-466b-4c1a-8af7-d6d1b0db930c.txt,"",bwJacUgn,2020-09-23-10-14,2020-09-23-10-25,11
s.d47a9939-995a-43de-b09c-190410222cac.txt,33,2,3,2,2,Fake_MRIs.2020-11-27-1756.data.d47a9939-995a-43de-b09c-190410222cac.txt,very nice experiment,Tkez8tKr,2020-11-27-17-45,2020-11-27-17-56,11
s.d47ab18d-4d6c-4be0-947a-8b5eee291c31.txt,31,2,3,9,2,"","","",2020-11-27-16-35,"",""
s.fdaa8547-af95-49e2-86e5-845d017c65f3.txt,33,2,3,3,2,Fake_MRIs.2020-11-30-1233.data.fdaa8547-af95-49e2-86e5-845d017c65f3.txt,Figures were quite small on a 24 inch. screen with 100% zoom on the browser.,xs6FhKRV,2020-11-30-12-09,2020-11-30-12-35,26
s.8d58d3b0-f3b8-41be-99ef-d5162620a2ed.txt,21,1,4,1,2,Fake_MRIs.2020-11-29-0935.data.8d58d3b0-f3b8-41be-99ef-d5162620a2ed.txt,xiaohui_you@mail.bnu.edu.cn,gs4O7su9,2020-11-29-07-41,2020-11-29-09-36,115
s.c1724b6d-b57d-4a0d-83f2-7c16eb2680be.txt,34,1,3,3,1,Fake_MRIs.2020-11-30-1359.data.c1724b6d-b57d-4a0d-83f2-7c16eb2680be.txt,"",yGzNmhqV,2020-11-30-13-47,2020-11-30-14-00,13
s.ac23c4af-c755-4165-81d4-f04fd648ce51.txt,"","","","","","","","",2020-12-24-03-10,"",""
s.2eb9e6be-e025-46c9-a8a7-fe0034d32dfe.txt,41,2,3,5,2,Fake_MRIs.2020-09-17-1424.data.2eb9e6be-e025-46c9-a8a7-fe0034d32dfe.txt,flawless - Matthias,bGt5jmPm,2020-09-17-14-11,2020-09-17-14-25,14
s.7e604ff4-62bc-4424-89cb-7b2f16bc6feb.txt,31,1,3,7,2,"","","",2020-12-04-11-19,"",""
s.2137eb98-9d8e-4bda-96ca-20e7923865de.txt,28,1,4,2,2,Fake_MRIs.2020-10-16-2048.data.2137eb98-9d8e-4bda-96ca-20e7923865de.txt,"The MRI images appeared very small on my laptop screen, much smaller than I would typically view a 3-pane image, and I don't use excessive zoom. Perhaps this was intentional but I wanted to let you know in case not.",OOPuEaOW,2020-10-16-20-28,2020-10-16-20-49,21
s.a0a68f29-b156-4c32-b7cd-ad00da8aa828.txt,30,2,3,1,2,Fake_MRIs.2021-01-25-1231.data.a0a68f29-b156-4c32-b7cd-ad00da8aa828.txt,"",jskOWKVu,2021-01-25-12-10,2021-01-25-12-31,21
s.8d59d339-246d-4c12-a392-bbe33e4bea41.txt,24,2,4,1,2,Fake_MRIs.2020-10-12-2053.data.8d59d339-246d-4c12-a392-bbe33e4bea41.txt,"",peAhF9D7,2020-10-12-20-39,2020-10-12-20-53,14
